pid,age,current_working,marital,logfaminc,loginc,n_loginc,ownhome,num_marriage,married,birthyear,white,edu,fambus_ever,male,fid,mid,n_child,n_obs
11003,35,1,1,11.350795,11.08843,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,36,1,1,11.36999,11.006938,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,37,1,1,11.440873,11.028746,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,38,1,1,11.468764,11.029066,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,39,1,1,11.47204,10.874267,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,40,1,1,11.589366,10.970079,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,41,1,1,11.516902,11.096629,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,42,1,1,11.379406,11.248656,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,43,1,1,10.830549,10.795781,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,52,1,1,11.305655,11.257646,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,54,1,1,11.231141,11.220836,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
14004,25,1,1,11.148017,11.049778,,0,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,26,1,1,11.037741,11.004431,,0,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,27,1,1,11.218822,11.043881,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,28,1,1,11.186641,11.110655,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,29,1,1,11.157821,11.157821,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,30,1,1,11.285419,11.17575,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,31,1,1,11.341444,11.341444,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,32,1,1,11.485933,11.485933,,0,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,33,1,1,11.427367,11.427367,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,35,1,1,11.441045,11.441045,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,37,1,1,11.364193,11.364193,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,39,1,1,11.640233,11.287279,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14004,41,1,1,11.86292,10.998153,,,Actual number of marriages,1,1963,1,13,1,1,14902,14001,2,13
14030,27,1,0,11.033744,10.175422,,0,Actual number of marriages,1,1985,1,14,1,1,14004,14172,2,3
14030,29,1,1,11.073459,11.012051,,,Actual number of marriages,1,1985,1,14,1,1,14004,14172,2,3
14030,31,1,1,11.060369,10.896739,,,Actual number of marriages,1,1985,1,14,1,1,14004,14172,2,3
18021,25,1,1,10.853398,10.647874,,0,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,26,1,1,10.884153,10.734656,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,27,1,1,10.736071,10.687868,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,28,1,1,10.800708,10.800708,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,29,1,1,10.818818,10.818818,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
18021,30,1,1,10.935354,10.81569,,,Actual number of marriages,0,1946,1,13,0,1,18001,18002,2,28
